latitude,longitude
22.362499,114.133535
22.364588,114.135875
22.370689,114.138525
22.359539,114.127057
22.367621,114.132958
22.370332,114.142257
22.361313,114.122049
22.363957,114.127516
22.353013,114.131782
22.36156,114.102553
22.355719,114.097558
22.348143,114.106825
22.353732,114.10884
22.354193,114.106887
22.366448,114.135849
22.357277,114.127928
22.363466,114.131442
22.359733,114.10656
22.351801,114.107319
22.359678,114.114643
22.354176,114.107726
22.352728,114.101096
22.351205,114.105699
22.358313,114.081981
22.349751,114.110047
22.365475,114.131901
22.35232,114.104541
22.354601,114.123517
22.358798,114.119323
22.360048,114.125279
22.370588,114.136223
22.369497,114.129329
22.368194,114.130434
22.370814,114.138926
22.368251,114.139899
22.366219,114.12408
22.358775,114.105291
22.356119,114.127996
22.357518,114.096196
22.375566,114.136839
22.355729,114.131925
22.356131,114.130296
22.345158,114.136622
22.360735,114.136219
22.342541,114.140152
22.361093,114.096292
22.346888,114.141447
22.346372,114.14049
22.366078,114.141917
22.346923,114.141947
22.354849,114.100855
22.355248,114.101831
22.371726,114.12213
22.377217,114.137489
22.345618,114.142282
22.352556,114.133162
22.3433,114.138025
22.424648,113.99108
22.413141,113.969319
22.395287,113.962854
22.369642,113.997542
22.385129,113.973034
22.389677,113.97989
22.403359,113.970902
22.379513,113.98051
22.362231,114.019048
22.398062,113.974359
22.37692,114.007351
22.375192,113.960983
22.402097,113.979142
22.398598,113.977868
22.365304,114.006028
22.422489,113.98296
22.395071,113.974734
22.392902,113.969323
22.39675,113.976645
22.390258,113.919559
22.403011,113.978296
22.385851,113.979447
22.36547,114.004287
22.391245,113.968072
22.390796,113.966275
22.404271,113.978431
22.391186,113.975539
22.384786,113.965322
22.362607,114.011572
22.372593,113.967126
22.36713,114.010902
22.420535,113.98071
22.428936,113.991925
22.388912,113.979515
22.418105,113.980107
22.365246,114.012326
22.413979,113.971701
22.390628,113.920096
22.375684,113.999681
22.4001,113.973433
22.401685,113.977688
22.3748,113.9687
22.38172,113.963687
22.375555,113.966826
22.396829,113.973767
22.383316,113.971247
22.393925,113.973691
22.407267,113.96695
